,text,text_final
0,@AppleSupport causing the reply to be disregarded and the tapped notification under the keyboard is opened😡😡😡,cause reply disregard tap notification keyboard openedpouting_facepouting_facepouting_face
1,"@105835 Your business means a lot to us. Please DM your name, zip code and additional details about your concern. ^RR https://t.co/znUu1VJn9r",105835 business mean lot name zip code additional detail concern rr httpstcoznuu1vjn9r
2,@76328 I really hope you all change but I'm sure you won't! Because you don't have to!,76328 really hope change im sure wont dont
3,"@105836 LiveChat is online at the moment - https://t.co/SY94VtU8Kq or contact 03331 031 031 option 1, 4, 3 (Leave a message) to request a call back",105836 livechat online moment httpstcosy94vtu8kq contact 03331 031 031 option 1 4 3 leave message request call back
4,@VirginTrains see attached error message. I've tried leaving a voicemail several times in the past week https://t.co/NxVZjlYx1k,virgintrains see attach error message try leave voicemail several time past week httpstconxvzjlyx1k
5,"@105836 Have you tried from another device, Miriam ^MM",105836 try another device miriam mm
6,"@VirginTrains yep, I've tried laptop too several times over the past week and again today. I've tried different browsers too",virgintrains yep try laptop several time past week today try different browser
7,"@105836 It's working OK from here, Miriam. Does this link help https://t.co/0m2mpH15eh ? ^MM",105836 work ok miriam link httpstco0m2mph15eh mm
8,@VirginTrains I still haven't heard &amp; the number I'm directed to by phone is a dead end &amp; the live chat doesn't work. Can someone call me?,virgintrains still havent hear amp number im direct dead end amp live chat doesnt work someone call
9,@105836 That's what we're here for Miriam 😊  The team should send you an email shortly ^HP,105836 thats miriam smiling_face_with_smiling_eyes team send email shortly hp
10,@105837 We can help. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT,105837 version io find setting gt general gt reply
11,"@105838 @AppleSupport Me too am suffering , hope the can find a solution",105838 suffer hope find solution
12,"@AppleSupport hi #apple, I’ve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?",apple i’ve concern late io slow iphone6 happy solution
13,@105839 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,105839 reach always happy send look together
14,I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,update suddenly everything take age load What The F... 76099 update sux hate fix bye
15,"@105840 Hi there! What device is this happening on? If you could also let us know the Android and Spotify versions you're using, that'd be great /AY",105840 device happen could also let know android spotify version youre use thatd great ay
16,@SpotifyCares Thanks! Version 8.4.22.857 armv7 on anker bluetooth speaker on Samsung Galaxy Tab A (2016) Model SM-T280 Does distance from speaker matter?,spotifycares version 8422857 armv7 anker bluetooth speaker samsung galaxy tab 2016 model smt280 distance speaker matter
17,@105840 Thanks. The distance could possibly affect playback. Does logging out &gt; restarting your device &gt; logging back in make a difference? /AY,105840 distance could possibly affect playback log gt restart device gt log back make difference ay
18,"@SpotifyCares No, but I've moved speaker to about 1 metre away and it's not skipping at the mo - it was about 3 or 4 metres away before. Fingers crossed!",spotifycares move speaker 1 metre away skip mo 3 4 metre away finger cross
19,"@105840 That's great to hear. If anything comes up, just let us know. We'll carry on helping out 🙂 /AY",105840 thats great hear anything come let know well carry help slightly_smiling_face ay
20,@SpotifyCares Brilliant thanks 😊,spotifycares brilliant smiling_face_with_smiling_eyes
21,"@105840 You're welcome! If there's anything else we can help with, just give us a shout. We're here for you 😉 /CP",105840 youre welcome there anything else give shout winking_face cp
22,@76495 @91226 Please help! Spotify Premium skipping through songs constantly on android tablet &amp; bluetooth speaker. Tried everything!,76495 91226 spotify premium skip song constantly android tablet amp bluetooth speaker try everything
23,@105841 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors. https://t.co/GDrqU22YpT,105841 wed love let know step youve try since experience behavior
24,"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",1102 suck apps break wifi disconnect frequently apple ios1102 painfulupdate
25,"@105842 We're sorry your flight has been delayed, Beatner. Are you travelling on the BA8733? If so, the updated departure time we have is 15:30. 1/2",105842 sorry flight delay beatner travel ba8733 update departure time 1530 12
26,First flight for long time with @British_Airways. Now over one 1h delay for the short jump FRA-LCY and NO one here to provide status updates,first flight long time britishairways one 1h delay short jump fralcy one provide status update
27,"@105843 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there. https://t.co/GDrqU22YpT",105843 battery life important io version iphone run well go
28,Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,okay 76099 use fucking 2 minute drain 8 fucking percent
29,@105844 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,105844 reach always happy send look together
30,"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",get iphone 7plus back old io battery run half time apps frequently crash
